ID,Case,choice,SP,av_walk,av_bus,av_mc,time_walk,cost_walk,att1_walk,att2_walk,time_bus,cost_bus,att_bus,time_mc,cost_mc,att_mc,male,income
1,1,1,1,1,1,1,10,0,1,1,15,0,1,3,10,1,1,2
1,2,1,1,1,1,1,10,0,0,1,25,0,1,8,10,1,1,2
1,3,2,1,1,1,1,10,0,0,1,50,0,1,13,15,0,1,2
1,4,3,1,1,1,1,10,0,0,1,50,0,1,13,10,0,1,2
2,1,2,1,1,1,1,10,0,1,1,15,0,1,3,10,1,0,2
2,2,1,1,1,1,1,10,0,0,1,25,0,1,8,10,1,0,2
2,3,3,1,1,1,1,10,0,0,1,50,0,1,13,15,0,0,2
2,4,1,1,1,1,1,10,0,0,1,50,0,1,13,10,0,0,2
3,1,2,1,1,1,1,10,0,1,1,15,0,1,3,10,1,1,2
3,2,3,1,1,1,1,10,0,0,1,25,0,1,8,10,1,1,2
3,3,1,1,1,1,1,10,0,0,1,50,0,1,13,15,0,1,2
3,4,3,1,1,1,1,10,0,0,1,50,0,1,13,10,0,1,2
4,1,2,1,1,1,1,10,0,1,1,15,0,1,3,10,1,1,3
4,2,1,1,1,1,1,10,0,0,1,25,0,1,8,10,1,1,3
4,3,3,1,1,1,1,10,0,0,1,50,0,1,13,15,0,1,3
4,4,2,1,1,1,1,10,0,0,1,50,0,1,13,10,0,1,3
5,1,2,1,0,1,1,10,0,1,1,15,0,1,3,10,1,0,4
5,2,3,1,0,1,1,10,0,0,1,25,0,1,8,10,1,0,4
5,3,3,1,0,1,1,10,0,0,1,50,0,1,13,15,0,0,4
5,4,3,1,0,1,1,10,0,0,1,50,0,1,13,10,0,0,4
6,1,3,1,0,0,1,10,0,1,1,15,0,1,3,10,1,0,3
6,2,3,1,0,0,1,10,0,0,1,25,0,1,8,10,1,0,3
6,3,3,1,0,0,1,10,0,0,1,50,0,1,13,15,0,0,3
6,4,3,1,0,0,1,10,0,0,1,50,0,1,13,10,0,0,3
7,1,3,1,0,1,1,10,0,1,1,15,0,1,3,10,1,0,1
7,2,2,1,0,1,1,10,0,0,1,25,0,1,8,10,1,0,1
7,3,3,1,0,1,1,10,0,0,1,50,0,1,13,15,0,0,1
7,4,2,1,0,1,1,10,0,0,1,50,0,1,13,10,0,0,1
8,1,1,1,1,0,1,10,0,1,1,15,0,1,3,10,1,1,2
8,2,3,1,1,0,1,10,0,0,1,25,0,1,8,10,1,1,2
8,3,3,1,1,0,1,10,0,0,1,50,0,1,13,15,0,1,2
8,4,1,1,1,0,1,10,0,0,1,50,0,1,13,10,0,1,2
9,1,1,1,1,0,0,10,0,1,1,15,0,1,3,10,1,1,1
9,2,1,1,1,0,0,10,0,0,1,25,0,1,8,10,1,1,1
9,3,1,1,1,0,0,10,0,0,1,50,0,1,13,15,0,1,1
9,4,1,1,1,0,0,10,0,0,1,50,0,1,13,10,0,1,1
10,1,2,1,0,1,1,10,0,1,1,15,0,1,3,10,1,0,2
10,2,3,1,0,1,1,10,0,0,1,25,0,1,8,10,1,0,2
10,3,3,1,0,1,1,10,0,0,1,50,0,1,13,15,0,0,2
10,4,2,1,0,1,1,10,0,0,1,50,0,1,13,10,0,0,2
11,1,2,1,1,1,1,10,0,1,1,15,0,1,3,10,1,0,3
11,2,3,1,1,1,1,10,0,0,1,25,0,1,8,10,1,0,3
11,3,1,1,1,1,1,10,0,0,1,50,0,1,13,15,0,0,3
11,4,2,1,1,1,1,10,0,0,1,50,0,1,13,10,0,0,3
12,1,1,1,1,0,0,10,0,1,1,15,0,1,3,10,1,1,2
12,2,1,1,1,0,0,10,0,0,1,25,0,1,8,10,1,1,2
