ID,Case,choice,SP,av_walk,av_bus,av_mc,time_walk,cost_walk,Attwalk_shade,Attwalk_pavement,time_bus,cost_bus,Attbus_air,time_mc,cost_mc,Attmc_helmet,male,income
1,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
1,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
1,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
1,4,3,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
2,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,3
2,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,3
2,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,3
2,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,3
3,1,2,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,1
3,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,1
3,3,2,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,1
3,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,1
4,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,3
4,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,3
4,3,3,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,3
4,4,3,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,3
5,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
5,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
5,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
5,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
6,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
6,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
6,3,3,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
6,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
7,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
7,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
7,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
7,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
8,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
8,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
8,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
8,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
9,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,2
9,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,2
9,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,2
9,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,2
10,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
10,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
10,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
10,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
11,1,2,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
11,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
11,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
11,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
12,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
12,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
12,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
12,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
13,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
13,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
13,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
13,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
14,1,2,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
14,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
14,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
14,4,3,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
15,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,2
15,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,2
15,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,2
15,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,2
16,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
16,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
16,3,3,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
16,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
17,1,2,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,1
17,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,1
17,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,1
17,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,1
18,1,3,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
18,2,3,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
18,3,3,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
18,4,3,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
19,1,2,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
19,2,2,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
19,3,2,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
19,4,2,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
20,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
