ID,Case,choice,SP,av_walk,av_bus,av_mc,time_walk,cost_walk,Attwalk_shade,Attwalk_pavement,time_bus,cost_bus,Attbus_air,time_mc,cost_mc,Attmc_helmet,male,income
1,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
1,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
1,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
2,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,3
2,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,3
5,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
5,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
5,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
5,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
7,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
7,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
7,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
8,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,0,2
8,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
8,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
8,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
9,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,2
9,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,2
9,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,2
10,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
10,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
11,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
12,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
12,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
13,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
13,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
13,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
13,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
14,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,0,2
14,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
15,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,2
16,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,0,2
17,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,1
20,1,1,1,1,1,1,10,0,0,0,15,0,1,3,10,1,1,1
20,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,1
20,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
20,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,1
22,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,2
23,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,0,3
24,3,1,1,1,1,1,10,0,0,0,50,0,1,13,10,1,1,1
25,2,1,1,1,1,1,10,0,1,0,25,0,1,8,15,0,1,3
25,4,1,1,1,1,1,10,0,1,0,50,0,1,13,15,0,1,3
27,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,4
28,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
29,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
30,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,0,2
30,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,0,2
30,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,0,2
31,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,0,3
32,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,1
32,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,1,1
32,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
32,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,1
33,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,2
33,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,2
37,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,0,2
37,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,0,2
37,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,0,2
39,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,2
40,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,1
40,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,1,1
40,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
40,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,1
41,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,1,2
41,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,2
41,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,2
43,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,1
43,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
43,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,1
44,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,1,3
44,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,3
45,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,2
45,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,2
45,4,1,1,1,1,1,10,0,1,0,50,0,0,13,15,1,1,2
46,1,1,1,1,1,1,10,0,1,1,15,0,0,3,10,1,1,1
46,2,1,1,1,1,1,10,0,1,1,25,0,0,8,10,0,1,1
46,3,1,1,1,1,1,10,0,1,1,50,0,0,13,10,1,1,1
